scenario,amplitude_tier,flight_mode,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_command_throttle,baseline_min_actuator,baseline_sample_count,active_sample_count,aligned_sample_count,pulse_count_seen,triggered_pulse_count,pulse_trigger_rate,floor_hit_rate,baseline_false_trigger_rate,median_hit_latency_ms,recovery_rate,hit_pattern_consistency,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
nominal,micro,GUIDED_NOGPS,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100123_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100123_ardupilot_attitude_pulse_train_throttle_r1,ok,-0.69,0.546,157,33,190,5,3,0.6,0.6060606060606061,0.3821656050955414,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,micro,GUIDED_NOGPS,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100157_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100157_ardupilot_attitude_pulse_train_throttle_r2,ok,-0.69,0.523,156,34,190,5,3,0.6,0.5882352941176471,0.391025641025641,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,micro,GUIDED_NOGPS,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100232_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100232_ardupilot_attitude_pulse_train_throttle_r3,ok,-0.69,0.524,157,34,191,5,3,0.6,0.5882352941176471,0.3885350318471338,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,micro,GUIDED_NOGPS,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100306_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100306_ardupilot_attitude_pulse_train_throttle_r4,ok,-0.69,0.5235000000000001,154,33,187,5,3,0.6,0.5757575757575758,0.3961038961038961,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,micro,GUIDED_NOGPS,nominal-micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro.yaml,20260415_100340_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,ardupilot_a2_guided_nogps_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100340_ardupilot_attitude_pulse_train_throttle_r5,ok,-0.69,0.524,155,35,190,5,3,0.6,0.6,0.3870967741935484,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,GUIDED_NOGPS,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100414_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100414_ardupilot_attitude_pulse_train_throttle_r1,ok,-0.69,0.523,159,32,191,5,3,0.6,0.625,0.3836477987421384,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,GUIDED_NOGPS,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100448_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100448_ardupilot_attitude_pulse_train_throttle_r2,ok,-0.69,0.523,157,32,189,5,3,0.6,0.59375,0.39490445859872614,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,GUIDED_NOGPS,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100522_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100522_ardupilot_attitude_pulse_train_throttle_r3,ok,-0.69,0.526,157,32,189,5,3,0.6,0.59375,0.39490445859872614,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,GUIDED_NOGPS,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100557_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100557_ardupilot_attitude_pulse_train_throttle_r4,ok,-0.69,0.523,155,33,188,5,3,0.6,0.6060606060606061,0.3870967741935484,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,probe,GUIDED_NOGPS,nominal-probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe.yaml,20260415_100631_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,ardupilot_a2_guided_nogps_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100631_ardupilot_attitude_pulse_train_throttle_r5,ok,-0.69,0.524,159,32,191,5,3,0.6,0.625,0.3836477987421384,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100705_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100705_ardupilot_attitude_pulse_train_throttle_r1,ok,-0.69,0.523,155,33,188,5,3,0.6,0.6060606060606061,0.3870967741935484,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100739_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100739_ardupilot_attitude_pulse_train_throttle_r2,ok,-0.69,0.524,156,35,191,5,3,0.6,0.6,0.38461538461538464,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100813_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100813_ardupilot_attitude_pulse_train_throttle_r3,ok,-0.69,0.523,159,33,192,5,3,0.6,0.6060606060606061,0.389937106918239,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100847_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100847_ardupilot_attitude_pulse_train_throttle_r4,ok,-0.69,0.522,155,33,188,5,3,0.6,0.6060606060606061,0.3935483870967742,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
nominal,confirm,GUIDED_NOGPS,nominal-confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm.yaml,20260415_100921_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,ardupilot_a2_guided_nogps_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100921_ardupilot_attitude_pulse_train_throttle_r5,ok,-0.69,0.5235000000000001,156,33,189,5,3,0.6,0.6060606060606061,0.38461538461538464,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_100955_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_100955_ardupilot_attitude_pulse_train_throttle_r1,ok,-0.73,0.533,158,34,192,5,3,0.6,0.5882352941176471,0.3924050632911392,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_101030_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101030_ardupilot_attitude_pulse_train_throttle_r2,ok,-0.73,0.538,158,33,191,5,3,0.6,0.6363636363636364,0.3860759493670886,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_101104_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101104_ardupilot_attitude_pulse_train_throttle_r3,ok,-0.73,0.5375000000000001,158,35,193,5,3,0.6,0.6,0.3860759493670886,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_101138_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101138_ardupilot_attitude_pulse_train_throttle_r4,ok,-0.73,0.533,159,32,191,5,3,0.6,0.59375,0.389937106918239,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,micro,GUIDED_NOGPS,throttle_biased-micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro.yaml,20260415_101212_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101212_ardupilot_attitude_pulse_train_throttle_r5,ok,-0.73,0.533,154,34,188,5,3,0.6,0.6176470588235294,0.38311688311688313,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,GUIDED_NOGPS,throttle_biased-probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe.yaml,20260415_101246_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101246_ardupilot_attitude_pulse_train_throttle_r1,ok,-0.73,0.531,157,35,192,5,3,0.6,0.6,0.3885350318471338,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,GUIDED_NOGPS,throttle_biased-probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe.yaml,20260415_101320_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101320_ardupilot_attitude_pulse_train_throttle_r2,ok,-0.73,0.532,159,31,190,5,3,0.6,0.5806451612903226,0.4025157232704403,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,GUIDED_NOGPS,throttle_biased-probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe.yaml,20260415_101354_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101354_ardupilot_attitude_pulse_train_throttle_r3,ok,-0.73,0.533,155,33,188,5,3,0.6,0.5757575757575758,0.3935483870967742,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,GUIDED_NOGPS,throttle_biased-probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe.yaml,20260415_101429_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101429_ardupilot_attitude_pulse_train_throttle_r4,ok,-0.73,0.526,161,30,191,5,3,0.6,0.6,0.39751552795031053,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,probe,GUIDED_NOGPS,throttle_biased-probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe.yaml,20260415_101503_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101503_ardupilot_attitude_pulse_train_throttle_r5,ok,-0.73,0.532,155,33,188,5,3,0.6,0.6060606060606061,0.3870967741935484,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,GUIDED_NOGPS,throttle_biased-confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm.yaml,20260415_101537_ardupilot_attitude_pulse_train_throttle_r1,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101537_ardupilot_attitude_pulse_train_throttle_r1,ok,-0.73,0.533,158,34,192,5,3,0.6,0.5882352941176471,0.3860759493670886,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,GUIDED_NOGPS,throttle_biased-confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm.yaml,20260415_101611_ardupilot_attitude_pulse_train_throttle_r2,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101611_ardupilot_attitude_pulse_train_throttle_r2,ok,-0.73,0.529,160,32,192,5,3,0.6,0.5625,0.4,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,GUIDED_NOGPS,throttle_biased-confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm.yaml,20260415_101645_ardupilot_attitude_pulse_train_throttle_r3,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101645_ardupilot_attitude_pulse_train_throttle_r3,ok,-0.73,0.533,157,33,190,5,3,0.6,0.6060606060606061,0.3885350318471338,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,GUIDED_NOGPS,throttle_biased-confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm.yaml,20260415_101719_ardupilot_attitude_pulse_train_throttle_r4,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101719_ardupilot_attitude_pulse_train_throttle_r4,ok,-0.73,0.533,161,32,193,5,3,0.6,0.625,0.38509316770186336,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
throttle_biased,confirm,GUIDED_NOGPS,throttle_biased-confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm.yaml,20260415_101753_ardupilot_attitude_pulse_train_throttle_r5,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,ardupilot_a2_guided_nogps_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_101753_ardupilot_attitude_pulse_train_throttle_r5,ok,-0.73,0.532,157,34,191,5,3,0.6,0.6176470588235294,0.3821656050955414,0.0,0.0,1.0,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
