flight_mode,scenario,amplitude_tier,config_key,config_name,run_id,study_name,config_profile,artifact_dir,analysis_status,baseline_sample_count,active_sample_count,baseline_collective_floor_rate,active_collective_floor_rate,collective_floor_specificity,baseline_pair_split_rate,active_pair_split_rate,pair_split_specificity,pair_split_sign_consistency,pair_split_direction,baseline_actuator_1_floor_rate,baseline_actuator_2_floor_rate,baseline_actuator_3_floor_rate,baseline_actuator_4_floor_rate,active_actuator_1_floor_rate,active_actuator_2_floor_rate,active_actuator_3_floor_rate,active_actuator_4_floor_rate,actuator_1_floor_specificity,actuator_2_floor_specificity,actuator_3_floor_specificity,actuator_4_floor_specificity,actuator_specificity_spread,active_dominant_vector_state,active_dominant_vector_purity,baseline_dominant_vector_state,baseline_dominant_vector_purity,accepted,failsafe_during_experiment,completion_reason,rejection_reasons,anomaly_summary,status,exit_code,research_acceptance
STABILIZE,nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090338_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090338_ardupilot_manual_pulse_train_throttle_r1,ok,157,33,0.39490445859872614,0.5757575757575758,0.18085311715884966,0.0,0.0,0.0,nan,none,0.39490445859872614,0.39490445859872614,0.39490445859872614,0.39490445859872614,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.18085311715884966,0.18085311715884966,0.18085311715884966,0.18085311715884966,0.0,0.000|0.000|0.000|0.000,0.5757575757575758,0.100|0.100|0.100|0.100,0.5668789808917197,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090412_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090412_ardupilot_manual_pulse_train_throttle_r2,ok,157,34,0.3821656050955414,0.6176470588235294,0.235481453727988,0.0,0.0,0.0,nan,none,0.3821656050955414,0.3821656050955414,0.3821656050955414,0.3821656050955414,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.235481453727988,0.235481453727988,0.235481453727988,0.235481453727988,0.0,0.000|0.000|0.000|0.000,0.6176470588235294,0.100|0.100|0.100|0.100,0.5796178343949044,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090446_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090446_ardupilot_manual_pulse_train_throttle_r3,ok,157,32,0.39490445859872614,0.59375,0.19884554140127386,0.0,0.0,0.0,nan,none,0.39490445859872614,0.39490445859872614,0.39490445859872614,0.39490445859872614,0.59375,0.59375,0.59375,0.59375,0.19884554140127386,0.19884554140127386,0.19884554140127386,0.19884554140127386,0.0,0.000|0.000|0.000|0.000,0.59375,0.100|0.100|0.100|0.100,0.5732484076433121,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090520_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090520_ardupilot_manual_pulse_train_throttle_r4,ok,156,34,0.391025641025641,0.5882352941176471,0.19720965309200605,0.0,0.0,0.0,nan,none,0.391025641025641,0.391025641025641,0.391025641025641,0.391025641025641,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.19720965309200605,0.19720965309200605,0.19720965309200605,0.19720965309200605,0.0,0.000|0.000|0.000|0.000,0.5882352941176471,0.100|0.100|0.100|0.100,0.5705128205128205,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,micro,nominal-micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro.yaml,20260415_090555_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,ardupilot_a2_stabilize_boundary_readiness_nominal_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090555_ardupilot_manual_pulse_train_throttle_r5,ok,156,34,0.3782051282051282,0.6176470588235294,0.23944193061840124,0.0,0.0,0.0,nan,none,0.3782051282051282,0.3782051282051282,0.3782051282051282,0.3782051282051282,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.23944193061840124,0.23944193061840124,0.23944193061840124,0.23944193061840124,0.0,0.000|0.000|0.000|0.000,0.6176470588235294,0.100|0.100|0.100|0.100,0.5833333333333334,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090629_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090629_ardupilot_manual_pulse_train_throttle_r1,ok,158,32,0.3924050632911392,0.59375,0.20134493670886078,0.0,0.0,0.0,nan,none,0.3924050632911392,0.3924050632911392,0.3924050632911392,0.3924050632911392,0.59375,0.59375,0.59375,0.59375,0.20134493670886078,0.20134493670886078,0.20134493670886078,0.20134493670886078,0.0,0.000|0.000|0.000|0.000,0.59375,0.100|0.100|0.100|0.100,0.569620253164557,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090703_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090703_ardupilot_manual_pulse_train_throttle_r2,ok,157,34,0.3821656050955414,0.6176470588235294,0.235481453727988,0.0,0.0,0.0,nan,none,0.3821656050955414,0.3821656050955414,0.3821656050955414,0.3821656050955414,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.235481453727988,0.235481453727988,0.235481453727988,0.235481453727988,0.0,0.000|0.000|0.000|0.000,0.6176470588235294,0.100|0.100|0.100|0.100,0.5796178343949044,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090737_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090737_ardupilot_manual_pulse_train_throttle_r3,ok,158,33,0.3860759493670886,0.6060606060606061,0.21998465669351747,0.0,0.0,0.0,nan,none,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5759493670886076,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090811_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090811_ardupilot_manual_pulse_train_throttle_r4,ok,159,32,0.3836477987421384,0.625,0.2413522012578616,0.0,0.0,0.0,nan,none,0.3836477987421384,0.3836477987421384,0.3836477987421384,0.3836477987421384,0.625,0.625,0.625,0.625,0.2413522012578616,0.2413522012578616,0.2413522012578616,0.2413522012578616,0.0,0.000|0.000|0.000|0.000,0.625,0.100|0.100|0.100|0.100,0.5786163522012578,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,probe,nominal-probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe.yaml,20260415_090846_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,ardupilot_a2_stabilize_boundary_readiness_nominal_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090846_ardupilot_manual_pulse_train_throttle_r5,ok,158,32,0.3924050632911392,0.59375,0.20134493670886078,0.0,0.0,0.0,nan,none,0.3924050632911392,0.3924050632911392,0.3924050632911392,0.3924050632911392,0.59375,0.59375,0.59375,0.59375,0.20134493670886078,0.20134493670886078,0.20134493670886078,0.20134493670886078,0.0,0.000|0.000|0.000|0.000,0.59375,0.100|0.100|0.100|0.100,0.569620253164557,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_090920_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090920_ardupilot_manual_pulse_train_throttle_r1,ok,156,34,0.38461538461538464,0.6176470588235294,0.2330316742081448,0.0,0.0,0.0,nan,none,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.2330316742081448,0.2330316742081448,0.2330316742081448,0.2330316742081448,0.0,0.000|0.000|0.000|0.000,0.6176470588235294,0.100|0.100|0.100|0.100,0.5769230769230769,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_090954_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_090954_ardupilot_manual_pulse_train_throttle_r2,ok,156,33,0.3974358974358974,0.5757575757575758,0.1783216783216784,0.0,0.0,0.0,nan,none,0.3974358974358974,0.3974358974358974,0.3974358974358974,0.3974358974358974,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.1783216783216784,0.1783216783216784,0.1783216783216784,0.1783216783216784,0.0,0.000|0.000|0.000|0.000,0.5757575757575758,0.100|0.100|0.100|0.100,0.5705128205128205,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_091028_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091028_ardupilot_manual_pulse_train_throttle_r3,ok,158,34,0.3924050632911392,0.5882352941176471,0.19583023082650786,0.0,0.0,0.0,nan,none,0.3924050632911392,0.3924050632911392,0.3924050632911392,0.3924050632911392,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.19583023082650786,0.19583023082650786,0.19583023082650786,0.19583023082650786,0.0,0.000|0.000|0.000|0.000,0.5882352941176471,0.100|0.100|0.100|0.100,0.5759493670886076,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_091102_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091102_ardupilot_manual_pulse_train_throttle_r4,ok,158,33,0.3860759493670886,0.6060606060606061,0.21998465669351747,0.0,0.0,0.0,nan,none,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5759493670886076,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,nominal,confirm,nominal-confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm.yaml,20260415_091137_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,ardupilot_a2_stabilize_boundary_readiness_nominal_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091137_ardupilot_manual_pulse_train_throttle_r5,ok,156,34,0.38461538461538464,0.5882352941176471,0.20361990950226244,0.0,0.0,0.0,nan,none,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.20361990950226244,0.20361990950226244,0.20361990950226244,0.20361990950226244,0.0,0.000|0.000|0.000|0.000,0.5882352941176471,0.100|0.100|0.100|0.100,0.5769230769230769,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091211_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091211_ardupilot_manual_pulse_train_throttle_r1,ok,155,34,0.3935483870967742,0.5882352941176471,0.19468690702087288,0.0,0.0,0.0,nan,none,0.3935483870967742,0.3935483870967742,0.3935483870967742,0.3935483870967742,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.19468690702087288,0.19468690702087288,0.19468690702087288,0.19468690702087288,0.0,0.000|0.000|0.000|0.000,0.5882352941176471,0.100|0.100|0.100|0.100,0.567741935483871,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091245_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091245_ardupilot_manual_pulse_train_throttle_r2,ok,157,33,0.3885350318471338,0.6060606060606061,0.2175255742134723,0.0,0.0,0.0,nan,none,0.3885350318471338,0.3885350318471338,0.3885350318471338,0.3885350318471338,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.2175255742134723,0.2175255742134723,0.2175255742134723,0.2175255742134723,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5732484076433121,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091319_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091319_ardupilot_manual_pulse_train_throttle_r3,ok,158,32,0.3924050632911392,0.59375,0.20134493670886078,0.0,0.0,0.0,nan,none,0.3924050632911392,0.3924050632911392,0.3924050632911392,0.3924050632911392,0.59375,0.59375,0.59375,0.59375,0.20134493670886078,0.20134493670886078,0.20134493670886078,0.20134493670886078,0.0,0.000|0.000|0.000|0.000,0.59375,0.100|0.100|0.100|0.100,0.569620253164557,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091353_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091353_ardupilot_manual_pulse_train_throttle_r4,ok,158,33,0.3860759493670886,0.6060606060606061,0.21998465669351747,0.0,0.0,0.0,nan,none,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5759493670886076,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,micro,throttle_biased-micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro.yaml,20260415_091428_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_micro,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091428_ardupilot_manual_pulse_train_throttle_r5,ok,157,34,0.3885350318471338,0.5882352941176471,0.1997002622705133,0.0,0.0,0.0,nan,none,0.3885350318471338,0.3885350318471338,0.3885350318471338,0.3885350318471338,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.1997002622705133,0.1997002622705133,0.1997002622705133,0.1997002622705133,0.0,0.000|0.000|0.000|0.000,0.5882352941176471,0.100|0.100|0.100|0.100,0.5732484076433121,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091502_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091502_ardupilot_manual_pulse_train_throttle_r1,ok,158,33,0.379746835443038,0.6363636363636364,0.25661680092059835,0.0,0.0,0.0,nan,none,0.379746835443038,0.379746835443038,0.379746835443038,0.379746835443038,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.25661680092059835,0.25661680092059835,0.25661680092059835,0.25661680092059835,0.0,0.000|0.000|0.000|0.000,0.6363636363636364,0.100|0.100|0.100|0.100,0.5886075949367089,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091536_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091536_ardupilot_manual_pulse_train_throttle_r2,ok,157,34,0.3885350318471338,0.5882352941176471,0.1997002622705133,0.0,0.0,0.0,nan,none,0.3885350318471338,0.3885350318471338,0.3885350318471338,0.3885350318471338,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.1997002622705133,0.1997002622705133,0.1997002622705133,0.1997002622705133,0.0,0.000|0.000|0.000|0.000,0.5882352941176471,0.100|0.100|0.100|0.100,0.5732484076433121,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091610_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091610_ardupilot_manual_pulse_train_throttle_r3,ok,160,31,0.3875,0.6129032258064516,0.2254032258064516,0.0,0.0,0.0,nan,none,0.3875,0.3875,0.3875,0.3875,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.2254032258064516,0.2254032258064516,0.2254032258064516,0.2254032258064516,0.0,0.000|0.000|0.000|0.000,0.6129032258064516,0.100|0.100|0.100|0.100,0.58125,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091644_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091644_ardupilot_manual_pulse_train_throttle_r4,ok,158,33,0.3860759493670886,0.6060606060606061,0.21998465669351747,0.0,0.0,0.0,nan,none,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5759493670886076,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,probe,throttle_biased-probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe.yaml,20260415_091719_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_probe,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091719_ardupilot_manual_pulse_train_throttle_r5,ok,156,35,0.38461538461538464,0.6,0.21538461538461534,0.0,0.0,0.0,nan,none,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.6,0.6,0.6,0.6,0.21538461538461534,0.21538461538461534,0.21538461538461534,0.21538461538461534,0.0,0.000|0.000|0.000|0.000,0.6,0.100|0.100|0.100|0.100,0.5769230769230769,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_091753_ardupilot_manual_pulse_train_throttle_r1,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091753_ardupilot_manual_pulse_train_throttle_r1,ok,157,33,0.3885350318471338,0.6060606060606061,0.2175255742134723,0.0,0.0,0.0,nan,none,0.3885350318471338,0.3885350318471338,0.3885350318471338,0.3885350318471338,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.2175255742134723,0.2175255742134723,0.2175255742134723,0.2175255742134723,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5796178343949044,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_091827_ardupilot_manual_pulse_train_throttle_r2,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091827_ardupilot_manual_pulse_train_throttle_r2,ok,159,31,0.389937106918239,0.6129032258064516,0.2229661188882126,0.0,0.0,0.0,nan,none,0.389937106918239,0.389937106918239,0.389937106918239,0.389937106918239,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.6129032258064516,0.2229661188882126,0.2229661188882126,0.2229661188882126,0.2229661188882126,0.0,0.000|0.000|0.000|0.000,0.6129032258064516,0.100|0.100|0.100|0.100,0.5723270440251572,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_091901_ardupilot_manual_pulse_train_throttle_r3,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091901_ardupilot_manual_pulse_train_throttle_r3,ok,158,33,0.3860759493670886,0.6060606060606061,0.21998465669351747,0.0,0.0,0.0,nan,none,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5759493670886076,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_091935_ardupilot_manual_pulse_train_throttle_r4,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_091935_ardupilot_manual_pulse_train_throttle_r4,ok,157,33,0.3821656050955414,0.6060606060606061,0.22389500096506465,0.0,0.0,0.0,nan,none,0.3821656050955414,0.3821656050955414,0.3821656050955414,0.3821656050955414,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.22389500096506465,0.22389500096506465,0.22389500096506465,0.22389500096506465,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5796178343949044,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
STABILIZE,throttle_biased,confirm,throttle_biased-confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm.yaml,20260415_092009_ardupilot_manual_pulse_train_throttle_r5,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,ardupilot_a2_stabilize_boundary_readiness_throttle_biased_confirm,/mnt/nvme/autopilot_lab/artifacts/raw/ardupilot/20260415_092009_ardupilot_manual_pulse_train_throttle_r5,ok,158,33,0.3860759493670886,0.6060606060606061,0.21998465669351747,0.0,0.0,0.0,nan,none,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.3860759493670886,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.21998465669351747,0.0,0.000|0.000|0.000|0.000,0.6060606060606061,0.100|0.100|0.100|0.100,0.5886075949367089,True,False,profile_completed,,quality_alignment_p95_exceeded,completed,0,accepted
